@ pixel(73,99), Ray: origin=[ -1.4045, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(74,99), Ray: origin=[ -1.3515, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(75,99), Ray: origin=[ -1.2985, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(76,99), Ray: origin=[ -1.2455, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(77,99), Ray: origin=[ -1.1925, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(78,99), Ray: origin=[ -1.1395, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(79,99), Ray: origin=[ -1.0865, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(80,99), Ray: origin=[ -1.0335, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(81,99), Ray: origin=[ -0.9805, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(82,99), Ray: origin=[ -0.9275, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(83,99), Ray: origin=[ -0.8745, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(84,99), Ray: origin=[ -0.8215, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(85,99), Ray: origin=[ -0.7685, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(86,99), Ray: origin=[ -0.7155, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(87,99), Ray: origin=[ -0.6625, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(88,99), Ray: origin=[ -0.6095, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(89,99), Ray: origin=[ -0.5565, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(90,99), Ray: origin=[ -0.5035, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(91,99), Ray: origin=[ -0.4505, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(92,99), Ray: origin=[ -0.3975, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(93,99), Ray: origin=[ -0.3445, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(94,99), Ray: origin=[ -0.2915, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(95,99), Ray: origin=[ -0.2385, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(96,99), Ray: origin=[ -0.1855, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(97,99), Ray: origin=[ -0.1325, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(98,99), Ray: origin=[ -0.0794997, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(99,99), Ray: origin=[ -0.0264997, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(100,99), Ray: origin=[ 0.0265002, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(101,99), Ray: origin=[ 0.0794997, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(102,99), Ray: origin=[ 0.1325, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
